,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１区
,,開票所名,,,,計,大阪市中央区,大阪市西区,大阪市港区,大阪市天王寺区,大阪市浪速区,大阪市東成区
,,得票率,(％),,,43.61,42.74,42.61,44.94
,,西脇京子,Ｎ党,新,49歳,9288,3339,2111,3838
,,得票率,(％),,,5.58,5.47,5.61,5.66


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１７区
,,開票所名,,,,計,堺市中区,堺市西区,堺市南区
,,有権者数,,,,330263,100227,112904,117132
,,投票率,(％),,,54.50,50.29,54.04,58.54

,,投票者数,,,,179985,50402,61009,68574
,,無効票＋他,,,,3866,1166,1178,1522
,,有効票,,,,176119,49236,59831,67052

当,重複,馬場伸幸,維新,前,56歳,94398,25085,33905,35408
,,得票率,(％),,,53.60,50.95,56.67,52.81
,重複,岡下昌平,自民,前,46歳,56061,17783,17699,20579
,,得票率,(％),,,31.83,36.12,29.58,30.69
,,森流星,共産,新,38歳,25660,6368,8227,11065
,,得票率,(％),,,14.57,12.93,13.75,16.50


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１８区
,,開票所名,,,,計,岸和田市,泉大津市,和泉市,高石市,忠岡町
,,有権者数,,,,434309,159176,61705,151756,47815,13857
,,投票率,(％),,,52.91,50.27,53.87,53.34,58.94,53.63

,,投票者数,,,,229804,80010,33241,80940,28181,7432
,,無効票＋他,,,,6221,2395,858,2168,647,153
,,有効票,,,,223583,77615,32383,78772,27534,7279

当,重複,遠藤敬,維新,前,53歳,118421,39132,17750,41672,16019,3848
,,得票率,(％),,,52.97,50.42,54.81,52.90,58.18,52.86
,重複,神谷昇,自民,前,72歳,61597,22329,8619,22308,6329,2012
,,得票率,(％),,,27.55,28.77,26.62,28.32,22.99,27.64
,重複,川戸康嗣,立民,新,46歳,24490,8183,3475,9132,3023,677
,,得票率,(％),,,10.95,10.54,10.73,11.59,10.98,9.30
,,望月亮佑,共産,新,29歳,19075,7971,2539,5660,2163,742
,,得票率,(％),,,8.53,10.27,7.84,7.19,7.86,10.19


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１９区
,,開票所名,,,,計,貝塚市,泉佐野市,泉南市,阪南市,熊取町,田尻町,岬町
,,有権者数,,,,304908,69992,83019,50480,45232,35770,7084,13331
,,投票率,(％),,,53.96,50.55,52.55,53.71,55.62,58.19,58.33,62.35

,,投票者数,,,,164539,35383,43626,27111,25160,20815,4132,8312
,,無効票＋他,,,,2827,653,712,574,441,265,77,105
,,有効票,,,,161712,34730,42914,26537,24719,20550,4055,8207

当,重複,伊東信久,維新,元,57歳,68209,15688,17531,11040,10655,8559,1602,3134
,,得票率,(％),,,42.18,45.17,40.85,41.60,43.10,41.65,39.51,38.19
,重複,谷川とむ,自民,前,45歳,52052,10119,14134,8801,8202,6332,1467,2997
,,得票率,(％),,,32.19,29.14,32.94,33.17,33.18,30.81,36.18,36.52
,重複,長安豊,立民,元,53歳,32193,7099,9288,4848,4370,4356,628,1604
,,得票率,(％),,,19.91,20.44,21.64,18.27,17.68,21.20,15.49,19.54
,,北村みき,共産,新,55歳,9258,1824,1961,1848,1492,1303,358,472
,,得票率,(％),,,5.72,5.25,4.57,6.96,6.04,6.34,8.83,5.75


